JobID,TaskID,start_time,end_time,duration
0,0_M0,1607006034.835921,1607006038.3269083,3.4909873008728027
0,0_M1,1607006035.074285,1607006039.4700053,4.3957202434539795
0,0_R0,1607006039.7552366,1607006040.5043547,0.7491180896759033
1,1_M0,1607006040.8075461,1607006041.537594,0.7300479412078857
1,1_R0,1607006041.855742,1607006043.7318835,1.8761415481567383
1,1_R1,1607006042.2367215,1607006045.9303155,3.693593978881836
2,2_M0,1607006046.3432472,1607006048.0776973,1.734450101852417
2,2_M1,1607006046.5027845,1607006049.1719246,2.669140100479126
2,2_R0,1607006049.5708556,1607006050.3148658,0.7440102100372314
2,2_R1,1607006049.759352,1607006051.3831446,1.6237926483154297
3,3_M0,1607006051.7174292,1607006053.533893,1.8164639472961426
3,3_M1,1607006051.9557915,1607006053.5358887,1.5800971984863281
3,3_R0,1607006053.6455946,1607006054.5980482,0.95245361328125
4,4_M0,1607006055.0239098,1607006056.8490322,1.825122356414795
4,4_M1,1607006055.2463138,1607006057.9241521,2.6778383255004883
4,4_M2,1607006055.6432524,1607006057.972025,2.32877254486084
4,4_R0,1607006058.1625152,1607006059.035324,0.8728089332580566
5,5_M2,1607006059.8940258,1607006059.9887724,0.09474658966064453
5,5_M1,1607006059.6866214,1607006061.3532507,1.6666293144226074
5,5_M0,1607006059.3375146,1607006062.3946025,3.0570878982543945
5,5_R0,1607006062.8055046,1607006067.0384688,4.232964277267456
5,5_R1,1607006062.9959958,1607006067.0404632,4.044467449188232
6,6_M3,1607006067.8313477,1607006068.1923819,0.3610341548919678
6,6_M2,1607006067.7356045,1607006068.9095945,1.17399001121521
6,6_M0,1607006067.4184523,1607006069.2257488,1.8072965145111084
6,6_M1,1607006067.6089435,1607006071.3661773,3.7572338581085205
6,6_R1,1607006072.139242,1607006072.5164387,0.3771967887878418
6,6_R0,1607006071.6994185,1607006075.9046743,4.205255746841431
7,7_M2,1607006076.6961946,1607006076.7919385,0.09574389457702637
7,7_M0,1607006076.4133143,1607006077.0143435,0.6010291576385498
7,7_M1,1607006076.6493204,1607006077.0163386,0.3670182228088379
7,7_R0,1607006077.4252462,1607006079.2235622,1.7983160018920898
8,8_M2,1607006079.8741217,1607006079.9379494,0.0638277530670166
8,8_M0,1607006079.620831,1607006080.333892,0.7130610942840576
8,8_M1,1607006079.8262491,1607006083.533819,3.7075698375701904
8,8_R0,1607006083.8350182,1607006085.889818,2.054799795150757
9,9_M2,1607006086.603073,1607006086.6818619,0.07878899574279785
9,9_M0,1607006086.2398813,1607006088.1417077,1.9018263816833496
9,9_M1,1607006086.525326,1607006089.304744,2.7794179916381836
9,9_R1,1607006089.9382143,1607006091.497327,1.559112787246704
9,9_R0,1607006089.4784453,1607006093.6467257,4.168280363082886
10,10_M2,1607006094.3797643,1607006094.474661,0.09489679336547852
10,10_M1,1607006094.3947608,1607006095.894861,1.5001001358032227
10,10_M0,1607006093.933957,1607006097.057874,3.1239168643951416
10,10_R0,1607006097.4868624,1607006098.090248,0.6033856868743896
10,10_R1,1607006097.725225,1607006101.3679738,3.6427488327026367
11,11_M0,1607006101.876613,1607006103.5783215,1.7017085552215576
11,11_M1,1607006102.1149771,1607006105.7616868,3.646709680557251
11,11_R0,1607006105.9053025,1607006110.0027554,4.097452878952026
12,12_M0,1607006110.3209043,1607006112.1922424,1.871338129043579
12,12_M1,1607006110.5095716,1607006112.1942377,1.6846661567687988
12,12_M2,1607006110.7000606,1607006112.8934963,2.1934356689453125
12,12_M3,1607006111.1129577,1607006113.2914321,2.1784744262695312
12,12_R0,1607006113.466123,1607006117.5915408,4.125417709350586
13,13_M0,1607006117.9236522,1607006118.6418636,0.7182114124298096
13,13_R0,1607006118.8642685,1607006123.178287,4.314018487930298
13,13_R1,1607006119.0388007,1607006123.1792831,4.140482425689697
14,14_M0,1607006123.671122,1607006125.3527582,1.681636095046997
14,14_M1,1607006124.053099,1607006125.353758,1.3006591796875
14,14_R1,1607006125.8744903,1607006126.4630497,0.5885593891143799
14,14_R0,1607006125.5573394,1607006128.690229,3.13288950920105
15,15_M0,1607006129.025333,1607006130.9046175,1.8792846202850342
15,15_M1,1607006129.3743997,1607006131.9699204,2.5955207347869873
15,15_R1,1607006132.6382928,1607006133.0342338,0.39594101905822754
15,15_R0,1607006132.241195,1607006135.2236307,2.982435703277588
16,16_M0,1607006135.7134414,1607006136.2679598,0.554518461227417
16,16_M1,1607006135.9039319,1607006137.3761446,1.472212791442871
16,16_R0,1607006137.8518708,1607006139.5047557,1.6528849601745605
16,16_R1,1607006138.1391027,1607006140.5391786,2.400075912475586
17,17_M2,1607006141.3460197,1607006141.4088502,0.06283044815063477
17,17_M0,1607006141.108653,1607006141.6302578,0.5216047763824463
17,17_M1,1607006141.3300657,1607006141.6312573,0.3011915683746338
17,17_R1,1607006142.203725,1607006142.7573845,0.5536594390869141
17,17_R0,1607006141.9334493,1607006146.3540728,4.420623540878296
18,18_M0,1607006146.7980213,1607006147.4333224,0.6353011131286621
18,18_R0,1607006147.5445082,1607006149.5783281,2.0338199138641357
19,19_M0,1607006150.039096,1607006151.6769912,1.637895107269287
19,19_R0,1607006152.0430124,1607006156.206401,4.163388729095459
