JobID,start_time,end_time,duration
0,1607164169.3671947,1607164176.114569,6.7473742961883545
1,1607164176.2137182,1607164182.4633765,6.2496583461761475
2,1607164182.5618465,1607164189.632148,7.070301532745361
3,1607164189.7155464,1607164196.7095056,6.993959188461304
4,1607164196.8084154,1607164203.384976,6.5765604972839355
5,1607164203.4836133,1607164209.9372544,6.453641176223755
6,1607164209.995894,1607164216.3465307,6.350636720657349
7,1607164216.5077229,1607164223.1448605,6.6371376514434814
8,1607164223.228168,1607164229.8921456,6.66397762298584
9,1607164230.001004,1607164236.111779,6.110774993896484
